City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
224,verkhnevilyuysk,63.4453,120.3167,22.19,33,40,0.36,RU,1722658386
225,gorontalo,0.5412,123.0595,29.45,65,50,3.09,ID,1722657965
226,sao tome,0.3365,6.7273,22.97,82,87,3.72,ST,1722658388
227,iznalloz,37.3926,-3.5276,19.2,33,0,1.48,ES,1722658389
228,envira,-7.3,-70.2167,25.81,60,76,0.41,BR,1722658390
229,kavieng,-2.5744,150.7967,26.46,86,100,7.53,PG,1722657967
230,bac lieu,9.285,105.7244,30.92,65,97,3.14,VN,1722658393
231,ust-nera,64.5667,143.2,12.4,50,87,2.08,RU,1722657972
232,ishigaki,24.3448,124.1572,29.59,73,27,2.22,JP,1722658250
233,bankim,6.083,11.4905,18.42,98,99,0.46,CM,1722658396
234,kingston,17.997,-76.7936,28.53,84,75,4.63,JM,1722657804
235,lompoc,34.6391,-120.4579,17.3,87,0,2.06,US,1722657982
236,kodiak,57.79,-152.4072,13.73,82,0,5.14,US,1722657966
237,vikulovo,56.8167,70.6107,20.2,80,60,3.21,RU,1722658401
238,naama,33.2667,-0.3167,24.71,27,50,2.9,DZ,1722658402
239,milicz,51.5277,17.2714,15.45,94,100,1.94,PL,1722658403
240,harper,4.375,-7.7169,24.05,83,100,4.92,LR,1722658154
241,huron,41.1501,-82.5499,21.31,97,93,1.93,US,1722658202
242,chui,-33.6971,-53.4616,18.81,80,46,5.29,UY,1722658283
243,huautla de jimenez,18.1315,-96.8409,14.95,98,100,0.92,MX,1722658409
244,kirensk,57.7853,108.1119,23.87,38,30,1.97,RU,1722658410
245,port saint john's,-31.6229,29.5448,14.64,83,0,2.87,ZA,1722658004
246,nar'yan-mar,67.6713,53.087,18.21,62,8,7.71,RU,1722657974
247,san agustin,20.5333,-103.4667,20.62,73,100,5.14,MX,1722658414
248,oriximina,-1.7656,-55.8661,25.33,69,55,1.56,BR,1722658415
249,christchurch,-43.5333,172.6333,10.74,52,1,2.24,NZ,1722657817
250,le port,-20.9373,55.2919,20.5,86,6,1.62,RE,1722658417
251,darzab,35.9774,65.3783,27.38,20,0,2.36,AF,1722658418
252,bandon,51.7469,-8.7425,11.77,88,100,1.41,IE,1722658420
253,batamshinskiy,50.5594,58.2747,22.43,35,70,5.69,KZ,1722658421
254,kupang,-10.1667,123.5833,33.32,40,20,4.12,ID,1722658422
255,rakops,-21.0167,24.3333,14.6,35,0,3.42,BW,1722658423
256,parfino,57.9731,31.6481,14.43,96,100,1.69,RU,1722658424
257,tubarjal,30.4999,38.216,25.85,38,0,3.75,SA,1722658214
258,port-gentil,-0.7193,8.7815,23.22,81,100,4.7,GA,1722658426
259,talara,-4.5772,-81.2719,18.03,87,58,7.1,PE,1722658015
260,omdurman,15.6445,32.4777,27.21,60,74,6.39,SD,1722658429
261,sinop,41.7711,34.8709,18.77,56,0,2.76,TR,1722658430
262,san bernardo del viento,9.3533,-75.9524,27.35,82,60,2.61,CO,1722658431
263,port douglas,-16.4833,145.4667,22.46,72,76,8.33,AU,1722658432
264,canutama,-6.5339,-64.3831,26.27,45,51,1.27,BR,1722658433
265,saldanha,-33.0117,17.9442,9.0,77,0,1.57,ZA,1722658435
266,hammerfest,70.6634,23.6821,16.25,77,9,0.0,NO,1722657996
267,libenge,3.65,18.6333,22.71,79,54,0.45,CD,1722658437
268,nykarleby,63.5228,22.5307,16.62,95,100,2.55,FI,1722658438
269,cole harbour,44.6724,-63.4751,21.66,93,57,1.54,CA,1722657982
270,motueka,-41.1333,173.0167,11.72,68,0,0.79,NZ,1722658440
271,petropavlovsk-kamchatsky,53.0452,158.6483,21.33,60,75,3.0,RU,1722657993
272,sudak,44.85,34.9667,22.09,57,16,1.57,UA,1722658443
273,rio grande,-32.035,-52.0986,16.64,88,39,6.13,BR,1722657917
274,greenville,35.6127,-77.3663,27.01,96,40,3.09,US,1722658445
275,nyagan,62.1406,65.3936,20.14,73,8,2.09,RU,1722658446
276,macara,-4.3833,-79.95,19.64,83,34,0.57,EC,1722658447
277,hirara,24.8,125.2833,29.71,69,51,1.59,JP,1722658449
278,shache,38.4167,77.2406,31.15,29,100,2.58,CN,1722658450
279,uruzgan,32.8333,66.0,29.36,23,7,1.3,AF,1722658451
280,alice springs,-23.7,133.8833,23.75,20,89,5.14,AU,1722657988
281,sovetskiy,61.3614,63.5842,19.28,75,15,2.38,RU,1722658453
282,biloela,-24.4167,150.5,23.05,21,0,2.2,AU,1722658455
283,yagoua,10.3411,15.2329,23.03,90,91,2.04,CM,1722658456
284,kaukauna,44.278,-88.272,25.53,77,0,4.12,US,1722658457
285,stembert,50.5931,5.8953,18.18,99,97,2.32,BE,1722658458
286,matoury,4.8483,-52.3317,23.98,94,0,0.0,GF,1722658459
287,boyolangu,-8.1181,111.8935,31.06,70,65,3.94,ID,1722658461
288,remire-montjoly,4.9167,-52.2667,24.02,94,0,0.0,GF,1722658463
289,quepos,9.4236,-84.1652,25.23,87,100,1.71,CR,1722657973
290,changleng,28.7,115.8167,35.93,50,3,3.05,CN,1722658465
291,aral,40.5156,81.2636,32.97,25,96,4.15,CN,1722658467
292,vorgashor,67.5833,63.95,20.07,53,50,7.76,RU,1722657967
293,saint-girons,42.9167,1.1667,16.24,92,100,1.06,FR,1722658469
294,ilha de mocambique,-15.0342,40.7358,21.41,81,3,5.03,MZ,1722658470
295,lensk,60.7253,114.9278,23.07,30,58,2.86,RU,1722658471
296,san juan de miraflores,-12.1629,-76.9635,15.65,87,25,3.96,PE,1722658472
297,berlin,52.5244,13.4105,16.11,90,0,2.06,DE,1722657906
298,coquimbo,-29.9533,-71.3436,12.85,100,0,2.57,CL,1722657979
299,chonchi,-42.6128,-73.8092,6.73,94,100,2.97,CL,1722657967
300,kushiro,42.975,144.3747,21.28,83,75,4.14,JP,1722658278
301,itoman,26.1247,127.6694,33.21,71,20,5.66,JP,1722658478
302,camenca,48.0319,28.6978,23.01,57,100,2.72,MD,1722658479
303,falmouth,50.1544,-5.0711,16.32,94,100,3.6,GB,1722658481
304,tsiombe,-25.3,45.4833,15.17,87,0,0.42,MG,1722657966
305,wynyard,-41.0,145.7167,12.33,61,100,4.12,AU,1722658483
306,alvesta,56.8993,14.5556,14.69,95,100,0.0,SE,1722658484
307,puerto baquerizo moreno,-0.9,-89.6,19.35,78,84,5.24,EC,1722657732
308,metlili chaamba,32.2667,3.6333,31.05,14,29,4.46,DZ,1722658486
309,road town,18.4167,-64.6167,27.83,79,64,8.62,VG,1722658488
310,camalu,30.85,-116.0667,23.14,81,14,3.23,MX,1722658489
311,kirakira,-10.4544,161.9205,29.07,75,63,4.13,SB,1722658490
312,la'ie,21.6477,-157.9253,27.98,78,95,2.24,US,1722658491
313,isla vista,34.4133,-119.861,28.52,58,0,0.43,US,1722658493
314,meridian,43.6121,-116.3915,32.24,41,0,1.54,US,1722658495
315,nantucket,41.2835,-70.0995,25.03,94,87,6.47,US,1722658496
316,dawson creek,55.7666,-120.2362,16.9,49,100,2.21,CA,1722658498
317,serhetabat,35.2799,62.3438,29.88,21,0,6.32,TM,1722658499
318,conceicao da barra,-18.5933,-39.7322,21.22,91,9,2.3,BR,1722658500
319,tekeli,44.83,78.8239,30.09,26,31,4.16,KZ,1722658501
320,umba,66.6871,34.3429,12.25,73,38,5.44,RU,1722658503
321,gazli,40.1333,63.45,31.09,19,0,8.5,UZ,1722658504
322,mount pearl,47.5166,-52.7813,12.75,94,100,1.79,CA,1722658505
323,mhamid,29.82,-5.72,30.77,9,0,2.2,MA,1722658506
324,brownwood,31.7093,-98.9912,30.0,49,0,2.57,US,1722658508
325,tofol,5.3248,163.0078,30.88,66,75,4.12,FM,1722658509
326,mata-utu,-13.2816,-176.1745,27.33,73,8,6.16,WF,1722658510
327,kapuskasing,49.4169,-82.4331,18.05,65,14,1.59,CA,1722658512
328,island harbour,50.724,-1.2758,19.4,75,93,2.68,GB,1722658514
329,yuzhno-sakhalinsk,46.9581,142.7337,12.79,100,75,6.0,RU,1722658515
330,masalovka,48.4053,40.2706,21.51,36,4,2.18,RU,1722658516
331,magadan,59.5667,150.8,12.82,59,88,1.87,RU,1722658518
332,laguna,38.421,-121.4238,32.1,33,0,2.57,US,1722658519
333,kruisfontein,-34.0033,24.7314,7.08,87,0,2.0,ZA,1722658520
334,dubasari,47.2631,29.1608,23.44,54,100,3.98,MD,1722658521
335,priargunsk,50.3691,119.1012,24.3,41,89,6.27,RU,1722658523
336,tandlianwala,31.0333,73.1333,34.21,54,8,5.32,PK,1722658524
337,pekan,3.4836,103.3996,31.07,63,44,3.16,MY,1722658525
338,yinchuan,38.4681,106.2731,27.62,45,1,2.21,CN,1722658528
339,keren,15.7778,38.4581,19.41,77,99,1.05,ER,1722658529
340,shchuchyn,53.6014,24.7465,14.46,77,100,1.86,BY,1722658530
341,constantia,44.1833,28.65,20.39,68,10,5.72,RO,1722658531
342,konarka,19.9,86.1167,30.65,70,100,5.14,IN,1722658532
343,grand-bourg,15.8835,-61.3148,24.97,72,91,7.84,GP,1722658534
344,isabela,6.7085,121.9711,29.64,69,41,2.15,PH,1722658535
345,kuanda,56.3161,116.0806,22.48,60,95,0.47,RU,1722658536
346,luganville,-15.5333,167.1667,25.05,87,45,5.88,VU,1722658538
347,ugoofaaru,5.6667,73.0,28.51,71,100,3.7,MV,1722658539
348,sieradz,51.5958,18.7302,15.25,92,100,2.03,PL,1722658540
349,zaozersk,69.4005,32.4476,11.61,80,9,3.84,RU,1722658541
350,helena valley west central,46.6629,-112.0604,27.15,36,16,1.79,US,1722658543
351,urangan,-25.3,152.9,18.91,65,5,7.43,AU,1722658544
352,oranjemund,-28.55,16.4333,13.61,43,21,2.51,NA,1722658545
